Start performance test

Loop: 42 			 Variation: 0 			 Cycles: 43000 			 Cache: 0 			  MethodCache: 0 			 Duration: 1.172148 ms
Loop: 42 			 Variation: 1 			 Cycles: 43000 			 Cache: 1 			  MethodCache: 0 			 Duration: 0.686426 ms
Loop: 42 			 Variation: 2 			 Cycles: 43000 			 Cache: 1 			  MethodCache: 1 			 Duration: 0.785356 ms
Loop: 43 			 Variation: 0 			 Cycles: 44000 			 Cache: 0 			  MethodCache: 0 			 Duration: 1.135353 ms
Loop: 43 			 Variation: 1 			 Cycles: 44000 			 Cache: 1 			  MethodCache: 0 			 Duration: 0.739704 ms
Loop: 43 			 Variation: 2 			 Cycles: 44000 			 Cache: 1 			  MethodCache: 1 			 Duration: 0.688698 ms
Loop: 44 			 Variation: 0 			 Cycles: 45000 			 Cache: 0 			  MethodCache: 0 			 Duration: 1.102265 ms
Loop: 44 			 Variation: 1 			 Cycles: 45000 			 Cache: 1 			  MethodCache: 0 			 Duration: 0.712734 ms
Loop: 44 			 Variation: 2 			 Cycles: 45000 			 Cache: 1 			  MethodCache: 1 			 Duration: 0.710863 ms
Loop: 45 			 Variation: 0 			 Cycles: 46000 			 Cache: 0 			  MethodCache: 0 			 Duration: 1.129834 ms
Loop: 45 			 Variation: 1 			 Cycles: 46000 			 Cache: 1 			  MethodCache: 0 			 Duration: 0.737271 ms
Loop: 45 			 Variation: 2 			 Cycles: 46000 			 Cache: 1 			  MethodCache: 1 			 Duration: 0.868443 ms
Loop: 46 			 Variation: 0 			 Cycles: 47000 			 Cache: 0 			  MethodCache: 0 			 Duration: 1.165702 ms
Loop: 46 			 Variation: 1 			 Cycles: 47000 			 Cache: 1 			  MethodCache: 0 			 Duration: 0.752484 ms
Loop: 46 			 Variation: 2 			 Cycles: 47000 			 Cache: 1 			  MethodCache: 1 			 Duration: 0.734662 ms
Loop: 47 			 Variation: 0 			 Cycles: 48000 			 Cache: 0 			  MethodCache: 0 			 Duration: 1.177770 ms
Loop: 47 			 Variation: 1 			 Cycles: 48000 			 Cache: 1 			  MethodCache: 0 			 Duration: 0.768872 ms
Loop: 47 			 Variation: 2 			 Cycles: 48000 			 Cache: 1 			  MethodCache: 1 			 Duration: 0.761968 ms
Loop: 48 			 Variation: 0 			 Cycles: 49000 			 Cache: 0 			  MethodCache: 0 			 Duration: 1.195445 ms
